id;book_title;isbn_code;language;author;publisher;cover_type;usage;price;published_year;description;book_type;content_type;genre;rating;cover_image;themes;stock;created_at
0012181e-5538-4e43-beb2-3772c13ce296;City of Girls;;Inggris;Elizabeth Gilbert;Bloomsbury;Hardcover;On-site and For Rent;20000.00;;;;Fiction;On Womanhood;0.00;;"[""Historical Fiction""]";0;2025-05-27 10:06:40.275537+00
00760f84-3fc6-4911-81cb-f13bac72f158;Namaku Teweraut;;Indonesia;Ani Sekarningsih;Yayasan Obor;Paperback;On-site and For Rent;10000.00;;;;Fiction;Indonesian Literature;0.00;;;0;2025-05-27 10:06:40.275537+00
009cae69-17a2-45d0-af16-701fa12552cb;Trisurya;;Indonesia;Liu Cixin;KPG;Paperback;On-site and For Rent;10000.00;;;;Fiction;Chinese Literature;0.00;;"[""Fantasy""]";0;2025-05-27 10:06:40.275537+00
00c3a613-30d7-459d-b1ac-c392c77ab297;Making Mondragon - The Growth and Dynamics of The Worker Cooperative Complex;;Inggris;William Foote Whyte, Kathleen King Whyte;Cornell University Press;Paperback;On-Site Only;0.00;;;;Nonfiction;Critiques on Capitalism;0.00;;"[""Co-op""]";0;2025-05-27 10:06:40.275537+00
00d593a1-0381-4548-a291-ec9a637e3053;Hidup Antigalau: Menata Karier dan Masa Depan di Umur 20-an;;Indonesia;Juhyung Kim;Gramedia;Paperback;On-site and For Rent;10000.00;;;;Nonfiction;Psychology & Self Help;0.00;;"[""Self Help""]";0;2025-05-27 10:06:40.275537+00
00ff6d40-e323-459b-bcd0-1906f03647d4;Matilda;;Inggris;Roald Dahl;Puffin;;On-site and For Rent;20000.00;;;;Fiction;Children's Books;0.00;;;0;2025-05-27 10:06:40.275537+00
012a14cc-2e7e-4c2e-8391-d417933a145e;Rantau Satu Muara;;Indonesia;A. Fuadi;GPU;Paperback;On-site and For Rent;10000.00;;;;Fiction;Indonesian Literature;0.00;;;0;2025-05-27 10:06:40.275537+00
01350022-a305-4ab9-b5bc-37b07d4104dc;Bintang Merah Menerangi Dunia Ketiga;;Indonesia;Vijay Prashad;Marjin Kiri;Paperback;On-site and For Rent;10000.00;;;;Nonfiction;History;0.00;;"[""Russian Revolution""]";0;2025-05-27 10:06:40.275537+00
015020f1-9f6d-4872-8edb-b2a833beea96;A History of the World;;Inggris;Andrew Marr;Pan Books;Paperback;On-site and For Rent;20000.00;;;;Nonfiction;History;0.00;;"[""World History""]";0;2025-05-27 10:06:40.275537+00
015038af-f20e-459e-b1d2-71ab4ed7f70a;Lonely Castle in the Mirror;;Inggris;Mizuki Tsujimura;Penguin;Paperback;On-site and For Rent;20000.00;;;;Fiction;Japanese Literature;0.00;;;0;2025-05-27 10:06:40.275537+00
016d9da7-44a3-4e3e-9bd6-9c49fc9f6593;Aku, Meps, dan Beps;;Indonesia;Soca Sobhita & Reda;Pos Press;Paperback;On-site and For Rent;10000.00;;;;Fiction;Indonesian Literature;0.00;;;0;2025-05-27 10:06:40.275537+00
0175cf48-bf62-4c8b-bbcb-1f30ac884665;Grief is The Thing With Feathers;;Inggris;Max Porter;Faber & Faber;Paperback;On-site and For Rent;20000.00;;;;Fiction;Western Contemporary Lit.;0.00;;"[""Magical Realism""]";0;2025-05-27 10:06:40.275537+00
01c2297f-b97b-4c26-8bd3-b0c79ea02909;The Art of Rhetoric;;Inggris;Aristotle;Norris Book;Paperback;On-site and For Rent;20000.00;;;;Nonfiction;Philosophy;0.00;;;0;2025-05-27 10:06:40.275537+00
01ec034e-98be-4f0e-a2e0-1dff63763e1c;"Sejarah Kecil ""Petite Histoire"" Indonesia Jilid 4";;Indonesia;Rosihan Anwar;Kompas;Paperback;On-site and For Rent;10000.00;;;;Nonfiction;History;0.00;;"[""Indonesian History""]";0;2025-05-27 10:06:40.275537+00
02179040-c5d5-4a61-aec7-7e0751164532;Layar Terkembang;;Indonesia;Sutan Takdir Alisjahbana;Balai Pustaka;Paperback;On-site and For Rent;10000.00;;;;Fiction;Indonesian Literature;0.00;;"[""Pujangga Baru""]";0;2025-05-27 10:06:40.275537+00
02549b9f-d787-4c83-a025-2856a11e6dd8;A Guide Book To Be a Beginner;;Indonesia;Luc Diana;Penerbit Briliant;Paperback;On-site and For Rent;10000.00;;;;Fiction;Fantasy & Sci-Fi;0.00;;;0;2025-05-27 10:06:40.275537+00
02640458-a2ed-4992-92ef-d842578a1704;A History of Aesthetic;;Inggris;Bernard Bosanquet;Meridian Books;Paperback;On-site and For Rent;20000.00;;;;Nonfiction;History;0.00;;"[""Philosophy""]";0;2025-05-27 10:06:40.275537+00
026ca6a4-424a-424a-b99d-ef4b4c5a0a2b;Hitler's Last Gamble Battle of The Bulge;;Indonesia;Cain & Wagner & Verma;KPG;Paperback;On-site and For Rent;10000.00;;;;Nonfiction;History;0.00;;;0;2025-05-27 10:06:40.275537+00
02a513d5-58d2-47b6-90b4-eb1cf610ca88;Everyone Brave is Forgiven;;Inggris;Chris Cleave;Sceptre;Paperback;On-site and For Rent;20000.00;;;;Nonfiction;History;0.00;;;0;2025-05-27 10:06:40.275537+00
02f640f9-5f74-4334-a344-b7c19019d1cc;The Giraffe and the Pelly and Me;;Inggris;Roald Dahl;Puffin;;On-site and For Rent;20000.00;;;;Fiction;Children's Books;0.00;;;0;2025-05-27 10:06:40.275537+00
02f66c19-2587-429f-8548-40112a9d67be;TEMPO Pokoknya Dua Putaran;;Indonesia;Anonim;TEMPO;Paperback;On-Site Only;0.00;;;;Nonfiction;Magazine & Zine;0.00;;;0;2025-05-27 10:06:40.275537+00
030cc9b3-aed5-41f4-9662-7f5c32eff51a;Girls in the Dark;;Indonesia;Akiyoshi Rikako;Penerbit Haru;Paperback;On-site and For Rent;10000.00;;;;Fiction;Japanese literature;0.00;;;0;2025-05-27 10:06:40.275537+00
03b3e78f-25be-46f8-a0f8-332864b65410;Those Who Leave and Those Who Stay;;Inggris;Elena Ferrante;Europa Edition;Paperback;On-site and For Rent;20000.00;;;;Fiction;On Womanhood;0.00;;"[""Feminism""]";0;2025-05-27 10:06:40.275537+00
03de1924-fed9-413d-be40-fa7f080d319e;Pendekar Tanpa Bayangan Vol.18;;Indonesia;Asmaraman S.Kho Ping Hoo;Gema;Paperback;On-site and For Rent;10000.00;;;;Fiction;Crime & Mystery;0.00;;"[""Spanish Literature""]";0;2025-05-27 10:06:40.275537+00
03de8bd4-9454-431a-9387-c86cc02e0a9c;The Art Of The Good Life, Filosofi Hidup Klasik untuk Abad Ke-21;;Indonesia;Rolf Dobelli;KPG;Paperback;On-site and For Rent;10000.00;;;;Nonfiction;Psychology & Self Help;0.00;;"[""Personal Development""]";0;2025-05-27 10:06:40.275537+00
