book_id,book_title,isbn_code,language,author,publisher,cover_type,usage,price,published_year,description,book_type,content_type,genre,rating,cover_image,themes,stock,created_at
0012181e-5538-4e43-beb2-3772c13ce296,City of Girls,NULL,Inggris,Elizabeth Gilbert,Bloomsbury,Hardcover,On-site and For Rent,20000,NULL,NULL,NULL,Fiction,On Womanhood,0,NULL,"{""Historical Fiction""}",0,2025-05-27 10:06:40.275537+00
00760f84-3fc6-4911-81cb-f13bac72f158,Namaku Teweraut,NULL,Indonesia,Ani Sekarningsih,Yayasan Obor,Paperback,On-site and For Rent,10000,NULL,NULL,NULL,Fiction,Indonesian Literature,0,NULL,NULL,0,2025-05-27 10:06:40.275537+00
009cae69-17a2-45d0-af16-701fa12552cb,Trisurya,NULL,Indonesia,Liu Cixin,KPG,Paperback,On-site and For Rent,10000,NULL,NULL,NULL,Fiction,Chinese Literature,0,NULL,{Fantasy},0,2025-05-27 10:06:40.275537+00
00c3a613-30d7-459d-b1ac-c392c77ab297,Making Mondragon - The Growth and Dynamics of The Worker Cooperative Complex,NULL,Inggris,"William Foote Whyte, Kathleen King Whyte",Cornell University Press,Paperback,On-Site Only,0,NULL,NULL,NULL,Nonfiction,Critiques on Capitalism,0,NULL,{Co-op},0,2025-05-27 10:06:40.275537+00
00d593a1-0381-4548-a291-ec9a637e3053,Hidup Antigalau: Menata Karier dan Masa Depan di Umur 20-an,NULL,Indonesia,Juhyung Kim,Gramedia,Paperback,On-site and For Rent,10000,NULL,NULL,NULL,Nonfiction,Psychology & Self Help,0,NULL,"{""Self Help""}",0,2025-05-27 10:06:40.275537+00
00ff6d40-e323-459b-bcd0-1906f03647d4,Matilda,NULL,Inggris,Roald Dahl,Puffin,NULL,On-site and For Rent,20000,NULL,NULL,NULL,Fiction,Children's Books,0,NULL,NULL,0,2025-05-27 10:06:40.275537+00
012a14cc-2e7e-4c2e-8391-d417933a145e,Rantau Satu Muara,NULL,Indonesia,A. Fuadi,GPU,Paperback,On-site and For Rent,10000,NULL,NULL,NULL,Fiction,Indonesian Literature,0,NULL,NULL,0,2025-05-27 10:06:40.275537+00
01350022-a305-4ab9-b5bc-37b07d4104dc,Bintang Merah Menerangi Dunia Ketiga,NULL,Indonesia,Vijay Prashad,Marjin Kiri,Paperback,On-site and For Rent,10000,NULL,NULL,NULL,Nonfiction,History,0,NULL,"{""Russian Revolution""}",0,2025-05-27 10:06:40.275537+00
015020f1-9f6d-4872-8edb-b2a833beea96,A History of the World,NULL,Inggris,Andrew Marr,Pan Books,Paperback,On-site and For Rent,20000,NULL,NULL,NULL,Nonfiction,History,0,NULL,"{""World History""}",0,2025-05-27 10:06:40.275537+00
015038af-f20e-459e-b1d2-71ab4ed7f70a,Lonely Castle in the Mirror,NULL,Inggris,Mizuki Tsujimura,Penguin,Paperback,On-site and For Rent,20000,NULL,NULL,NULL,Fiction,Japanese Literature,0,NULL,NULL,0,2025-05-27 10:06:40.275537+00
016d9da7-44a3-4e3e-9bd6-9c49fc9f6593,"Aku, Meps, dan Beps",NULL,Indonesia,Soca Sobhita & Reda,Pos Press,Paperback,On-site and For Rent,10000,NULL,NULL,NULL,Fiction,Indonesian Literature,0,NULL,NULL,0,2025-05-27 10:06:40.275537+00
0175cf48-bf62-4c8b-bbcb-1f30ac884665,Grief is The Thing With Feathers,NULL,Inggris,Max Porter,Faber & Faber,Paperback,On-site and For Rent,20000,NULL,NULL,NULL,Fiction,Western Contemporary Lit.,0,NULL,"{""Magical Realism""}",0,2025-05-27 10:06:40.275537+00
01c2297f-b97b-4c26-8bd3-b0c79ea02909,The Art of Rhetoric,NULL,Inggris,Aristotle,Norris Book,Paperback,On-site and For Rent,20000,NULL,NULL,NULL,Nonfiction,Philosophy,0,NULL,NULL,0,2025-05-27 10:06:40.275537+00
01ec034e-98be-4f0e-a2e0-1dff63763e1c,"Sejarah Kecil ""Petite Histoire"" Indonesia Jilid 4",NULL,Indonesia,Rosihan Anwar,Kompas,Paperback,On-site and For Rent,10000,NULL,NULL,NULL,Nonfiction,History,0,NULL,"{""Indonesian History""}",0,2025-05-27 10:06:40.275537+00
02179040-c5d5-4a61-aec7-7e0751164532,Layar Terkembang,NULL,Indonesia,Sutan Takdir Alisjahbana,Balai Pustaka,Paperback,On-site and For Rent,10000,NULL,NULL,NULL,Fiction,Indonesian Literature,0,NULL,"{""Pujangga Baru""}",0,2025-05-27 10:06:40.275537+00
02549b9f-d787-4c83-a025-2856a11e6dd8,A Guide Book To Be a Beginner,NULL,Indonesia,Luc Diana,Penerbit Briliant,Paperback,On-site and For Rent,10000,NULL,NULL,NULL,Fiction,Fantasy & Sci-Fi,0,NULL,NULL,0,2025-05-27 10:06:40.275537+00
02640458-a2ed-4992-92ef-d842578a1704,A History of Aesthetic,NULL,Inggris,Bernard Bosanquet,Meridian Books,Paperback,On-site and For Rent,20000,NULL,NULL,NULL,Nonfiction,History,0,NULL,{Philosophy},0,2025-05-27 10:06:40.275537+00
