user_id,book_id,borrow_date,return_date
18,f2e366d4-f367-4882-a30e-a5cfe95dab91,2024-02-11,2024-02-18
18,18c0a3bd-ca6c-4de1-9ac8-2e4708e34f9e,2024-01-23,2024-01-26
273,670040f6-47b2-449d-8cc3-088ec98512e8,2024-02-23,2024-02-26
273,74a0bc4b-6696-4a06-9c23-f1688b4c28d6,2024-03-11,2024-03-19
64,f27c01e0-1736-4a57-a4d3-21c88b4274da,2024-02-23,2024-03-05
64,dd297562-f674-4147-9a59-5b207d0c322f,2024-01-06,2024-01-20
20,e6521617-62c3-47c1-b57e-608bde0d8cde,2024-03-07,2024-03-17
20,905790b5-3d21-4436-b45a-7e541bc3347c,2024-03-18,2024-03-31
183,05646cba-50c5-4fb0-a71a-77c38633d757,2024-02-06,2024-02-15
154,90b7dff9-ba16-4e19-a0a8-18e17624dbc7,2024-01-07,2024-01-18
154,8ee5bbc4-b803-44d3-9439-24820c76d2e3,2024-02-17,2024-03-01
1,04d32156-c365-49c5-a0ef-c835eae58ce5,2024-03-04,2024-03-11
1,cb7be297-98af-4957-a666-217696d29b44,2024-02-06,2024-02-09
235,9b2c8145-4574-480f-881e-54521aa7cb03,2024-02-04,2024-02-10
235,9b2c8145-4574-480f-881e-54521aa7cb03,2024-02-09,2024-02-21
180,964e0802-c3ae-4c93-8436-e52b9222af7e,2024-03-30,2024-04-05
180,26ced661-c6eb-48ef-a893-8d5db7ee07da,2024-01-04,2024-01-07
180,7728e70b-d14e-498d-94a5-7b23f6020541,2024-01-17,2024-01-23
74,95114684-c063-45f1-98f9-d648573b121e,2024-02-21,2024-02-24
197,bbde54cb-0f33-43eb-9f2f-176a36a25417,2024-02-20,2024-02-29
197,b4fd3172-1e3a-404f-b3e0-d530f3de6a69,2024-03-14,2024-03-22
284,83a81860-fad7-497a-a82b-912c6e3d4da2,2024-03-20,2024-03-28
284,3495d011-edd1-4c95-aa27-41ea73e1de5a,2024-03-19,2024-04-02
138,72c99817-85cf-4f70-a354-f675769d0226,2024-03-25,2024-03-28
138,623ac3c6-d0cc-4853-9442-109e2efcfd67,2024-02-25,2024-03-06
153,251ea6a1-dd9d-4045-8f33-e511ec2c1710,2024-02-09,2024-02-19
153,7365edc2-17f3-4168-a565-3841920d1f43,2024-01-21,2024-02-02
153,b4fa0217-9f7e-4e25-b13f-5835975a8939,2024-02-01,2024-02-11
195,02549b9f-d787-4c83-a025-2856a11e6dd8,2024-02-24,2024-03-03
108,3f695162-b6be-47a6-a24d-06b4932b77e0,2024-02-21,2024-03-05
277,4496f2f0-5f69-4680-9a92-41b4a0ab1939,2024-03-08,2024-03-18
277,d2e6f349-7c0b-45df-8a10-768167daeda1,2024-02-29,2024-03-09
277,6ccbf682-80c2-4a1e-b098-627c85b59c73,2024-01-07,2024-01-20
96,b85b125a-a33c-4e34-9a8b-8d2d1c2654db,2024-02-24,2024-03-02
122,73656598-2921-481d-b5d9-9c14fc2978ab,2024-03-08,2024-03-12
49,a8eb0dc5-f209-4626-8ccd-96c021ed0d82,2024-02-06,2024-02-14
39,087e1598-11df-4ea2-832f-33179e56c8c2,2024-02-28,2024-03-13
39,087e1598-11df-4ea2-832f-33179e56c8c2,2024-03-31,2024-04-12
28,0849f119-a7b7-4f9c-82bc-6ac5f96dee88,2024-03-12,2024-03-26
28,0849f119-a7b7-4f9c-82bc-6ac5f96dee88,2024-02-09,2024-02-20
28,0849f119-a7b7-4f9c-82bc-6ac5f96dee88,2024-03-29,2024-04-03
146,c51388bd-08df-4e35-8e5e-43a75863c46c,2024-02-12,2024-02-21
146,1f630ba7-a707-4f88-be52-8c959caffd61,2024-03-16,2024-03-30
146,ce13738e-1356-42fb-bfa5-83adc947622d,2024-01-12,2024-01-17
67,4f8d6daf-80a0-4b46-b0f4-6118065b3f41,2024-02-07,2024-02-19
67,39bf5322-a7bc-4646-854b-fe0b242c6132,2024-03-26,2024-04-03
60,030cc9b3-aed5-41f4-9662-7f5c32eff51a,2024-03-31,2024-04-12
60,0849f119-a7b7-4f9c-82bc-6ac5f96dee88,2024-02-21,2024-02-24
